-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  19.5111   Longitude -99.1283 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2023,1,1,0,0.0
2023,1,1,1,0.0
2023,1,1,2,0.0
2023,1,1,3,0.0
2023,1,1,4,0.0
2023,1,1,5,0.0
2023,1,1,6,35.62
2023,1,1,7,216.75
2023,1,1,8,423.5
2023,1,1,9,570.38
2023,1,1,10,632.29
2023,1,1,11,648.34
2023,1,1,12,593.16
2023,1,1,13,382.83
2023,1,1,14,315.57
2023,1,1,15,181.45
2023,1,1,16,62.16
2023,1,1,17,0.0
2023,1,1,18,0.0
2023,1,1,19,0.0
2023,1,1,20,0.0
2023,1,1,21,0.0
2023,1,1,22,0.0
2023,1,1,23,0.0
2023,1,2,0,0.0
2023,1,2,1,0.0
2023,1,2,2,0.0
2023,1,2,3,0.0
2023,1,2,4,0.0
2023,1,2,5,0.0
2023,1,2,6,30.1
2023,1,2,7,199.82
2023,1,2,8,378.54
2023,1,2,9,543.05
2023,1,2,10,651.34
2023,1,2,11,684.25
2023,1,2,12,640.68
2023,1,2,13,502.62
2023,1,2,14,448.62
2023,1,2,15,259.8
2023,1,2,16,81.76
2023,1,2,17,0.0
2023,1,2,18,0.0
2023,1,2,19,0.0
2023,1,2,20,0.0
2023,1,2,21,0.0
2023,1,2,22,0.0
2023,1,2,23,0.0
2023,1,3,0,0.0
2023,1,3,1,0.0
2023,1,3,2,0.0
2023,1,3,3,0.0
2023,1,3,4,0.0
2023,1,3,5,0.0
2023,1,3,6,34.26
2023,1,3,7,238.45
2023,1,3,8,450.96
2023,1,3,9,640.85
2023,1,3,10,763.58
2023,1,3,11,806.2
2023,1,3,12,729.8
2023,1,3,13,624.54
2023,1,3,14,493.07
2023,1,3,15,309.04
2023,1,3,16,105.26
2023,1,3,17,0.0
2023,1,3,18,0.0
2023,1,3,19,0.0
2023,1,3,20,0.0
2023,1,3,21,0.0
2023,1,3,22,0.0
2023,1,3,23,0.0
2023,1,4,0,0.0
2023,1,4,1,0.0
2023,1,4,2,0.0
2023,1,4,3,0.0
2023,1,4,4,0.0
2023,1,4,5,0.0
2023,1,4,6,37.2
2023,1,4,7,247.57
2023,1,4,8,474.16
2023,1,4,9,664.3
